"","X","Subject","Trial","Stimulus","Block","RT","ACC","condition","yearofbirth","cTrial","older","RTlog","WordAge"
"1",1,101,3,"dental",7,564,1,"youngreal",1992,-1.42262897685245,"no",6.33682573114644,"oldword"
"2",2,101,4,"dye",2,505,1,"iso",1992,-1.3992103725035,"no",6.22653666928747,"youngword"
"3",3,101,5,"pencils",7,571,1,"youngreal",1992,-1.37579176815454,"no",6.3491389913798,"oldword"
"4",4,101,5,"fridge",2,563,1,"iso",1992,-1.37579176815454,"no",6.33505425149806,"youngword"
"5",5,101,6,"respected",7,507,1,"youngreal",1992,-1.35237316380559,"no",6.23048144757848,"oldword"
"6",6,101,6,"respected",7,507,1,"youngreal",1992,-1.35237316380559,"no",6.23048144757848,"oldword"
"7",7,101,7,"whistle",7,556,1,"youngreal",1992,-1.32895455945663,"no",6.32256523992728,"oldword"
"8",8,101,8,"pencils",4,501,1,"oldreal",1992,-1.30553595510768,"no",6.21860011969173,"oldword"
"9",9,101,8,"fireworks",2,510,1,"iso",1992,-1.30553595510768,"no",6.2363695902037,"oldword"
"10",10,101,11,"reckon",7,591,1,"youngreal",1992,-1.23528014206082,"no",6.38350663488401,"youngword"
"11",11,101,12,"recite",2,669,1,"iso",1992,-1.21186153771186,"no",6.50727771238501,"oldword"
"12",12,101,14,"willow",4,464,1,"oldreal",1992,-1.16502432901395,"no",6.14203740558736,"oldword"
"13",13,101,15,"libraries",2,594,1,"iso",1992,-1.141605724665,"no",6.38856140554563,"oldword"
"14",14,101,18,"nicest",2,610,1,"iso",1992,-1.07134991161813,"no",6.4150969591716,"youngword"
"15",15,101,18,"dental",4,546,1,"oldreal",1992,-1.07134991161813,"no",6.30444880242198,"oldword"
"16",16,101,19,"environment",4,500,1,"oldreal",1992,-1.04793130726918,"no",6.21660610108486,"youngword"
"17",17,101,19,"environment",4,500,1,"oldreal",1992,-1.04793130726918,"no",6.21660610108486,"youngword"
"18",18,101,20,"seventh",7,765,1,"youngreal",1992,-1.02451270292023,"no",6.64118216974059,"youngword"
"19",19,101,21,"lifestyle",2,542,1,"iso",1992,-1.00109409857127,"no",6.29710931993394,"youngword"
"20",20,101,24,"lifting",4,584,1,"oldreal",1992,-0.930838285524407,"no",6.37161184723186,"youngword"
"21",21,101,25,"miners",4,704,1,"oldreal",1992,-0.907419681175452,"no",6.55819780281227,"oldword"
"22",22,101,27,"survival",2,702,1,"iso",1992,-0.860582472477543,"no",6.55535689181067,"youngword"
"23",23,101,27,"bitten",7,697,1,"youngreal",1992,-0.860582472477543,"no",6.54821910276237,"youngword"
"24",24,101,31,"silent",2,700,1,"iso",1992,-0.766908055081724,"no",6.55250788703459,"oldword"
"25",25,101,31,"permission",7,741,1,"youngreal",1992,-0.766908055081724,"no",6.60934924316738,"oldword"
"26",26,101,32,"recite",7,677,1,"youngreal",1992,-0.74348945073277,"no",6.5191472879404,"oldword"
"27",27,101,32,"recite",7,677,1,"youngreal",1992,-0.74348945073277,"no",6.5191472879404,"oldword"
"28",28,101,32,"expensive",2,654,1,"iso",1992,-0.74348945073277,"no",6.48463523563525,"youngword"
"29",29,101,32,"expensive",2,654,1,"iso",1992,-0.74348945073277,"no",6.48463523563525,"youngword"
"30",30,101,33,"whistle",2,586,1,"iso",1992,-0.720070846383815,"no",6.3750248198281,"oldword"
"31",31,101,33,"whistle",2,586,1,"iso",1992,-0.720070846383815,"no",6.3750248198281,"oldword"
"32",32,101,34,"fried",2,594,1,"iso",1992,-0.69665224203486,"no",6.38856140554563,"oldword"
"33",33,101,35,"confectionery",2,625,1,"iso",1992,-0.673233637685906,"no",6.4393503711001,"oldword"
"34",34,101,35,"dye",4,558,1,"oldreal",1992,-0.673233637685906,"no",6.3261494731551,"youngword"
"35",35,101,36,"respected",4,495,1,"oldreal",1992,-0.649815033336951,"no",6.20657592672493,"oldword"
"36",36,101,36,"respected",4,495,1,"oldreal",1992,-0.649815033336951,"no",6.20657592672493,"oldword"
"37",37,101,38,"permission",2,563,1,"iso",1992,-0.602977824639042,"no",6.33505425149806,"oldword"
"38",38,101,39,"intellectual",7,691,1,"youngreal",1992,-0.579559220290087,"no",6.53958595561767,"youngword"
"39",39,101,43,"delivered",2,542,1,"iso",1992,-0.485884802894269,"no",6.29710931993394,"oldword"
"40",40,101,44,"video",2,520,1,"iso",1992,-0.462466198545314,"no",6.25575004175337,"youngword"
"41",41,101,45,"spirits",7,748,1,"youngreal",1992,-0.43904759419636,"no",6.61873898351722,"youngword"
"42",42,101,45,"reckon",2,545,1,"iso",1992,-0.43904759419636,"no",6.30261897574491,"youngword"
"43",43,101,46,"miners",7,627,1,"youngreal",1992,-0.415628989847405,"no",6.4425401664682,"oldword"
"44",44,101,46,"miners",7,627,1,"youngreal",1992,-0.415628989847405,"no",6.4425401664682,"oldword"
"45",45,101,46,"guide",2,475,1,"iso",1992,-0.415628989847405,"no",6.16541785423142,"youngword"
"46",46,101,46,"guide",2,475,1,"iso",1992,-0.415628989847405,"no",6.16541785423142,"youngword"
"47",47,101,47,"lifestyle",7,577,1,"youngreal",1992,-0.39221038549845,"no",6.35957386867238,"youngword"
"48",48,101,47,"lifestyle",7,577,1,"youngreal",1992,-0.39221038549845,"no",6.35957386867238,"youngword"
"49",49,101,48,"spirits",2,521,1,"iso",1992,-0.368791781149496,"no",6.25766758788264,"youngword"
"50",50,101,49,"bitten",2,502,1,"iso",1992,-0.345373176800541,"no",6.22059017009974,"youngword"
"51",51,101,49,"depressing",4,636,1,"oldreal",1992,-0.345373176800541,"no",6.45676965557216,"youngword"
"52",52,101,50,"hymns",7,616,1,"youngreal",1992,-0.321954572451587,"no",6.42486902390539,"oldword"
"53",53,101,50,"hymns",7,616,1,"youngreal",1992,-0.321954572451587,"no",6.42486902390539,"oldword"
"54",54,101,51,"fridge",4,570,1,"oldreal",1992,-0.298535968102632,"no",6.34738920965601,"youngword"
"55",55,101,53,"depressing",2,610,1,"iso",1992,-0.251698759404723,"no",6.4150969591716,"youngword"
"56",56,101,54,"electricity",2,681,1,"iso",1992,-0.228280155055768,"no",6.52502965784346,"oldword"
"57",57,101,55,"impressive",2,588,1,"iso",1992,-0.204861550706813,"no",6.37842618365159,"youngword"
"58",58,101,56,"frighten",7,757,1,"youngreal",1992,-0.181442946357859,"no",6.63068338564237,"oldword"
"59",59,101,56,"pencils",2,563,1,"iso",1992,-0.181442946357859,"no",6.33505425149806,"oldword"
"60",60,101,59,"libraries",7,631,1,"youngreal",1992,-0.111187133310995,"no",6.44888939414686,"oldword"
"61",61,101,60,"mittens",4,858,1,"oldreal",1992,-0.0877685289620404,"no",6.75576892198425,"oldword"
"62",62,101,61,"environment",2,632,1,"iso",1992,-0.0643499246130858,"no",6.45047042214418,"youngword"
"63",63,101,63,"stress",2,515,1,"iso",1992,-0.0175127159151765,"no",6.24610676548156,"youngword"
"64",64,101,64,"willow",2,494,1,"iso",1992,0.00590588843377808,"no",6.20455776256869,"oldword"
"65",65,101,64,"chemistry",4,599,1,"oldreal",1992,0.00590588843377808,"no",6.39692965521615,"youngword"
"66",66,101,65,"delivered",4,558,1,"oldreal",1992,0.0293244927827327,"no",6.3261494731551,"oldword"
"67",67,101,65,"delivered",4,558,1,"oldreal",1992,0.0293244927827327,"no",6.3261494731551,"oldword"
"68",68,101,65,"frighten",2,513,1,"iso",1992,0.0293244927827327,"no",6.24222326545517,"oldword"
"69",69,101,65,"frighten",2,513,1,"iso",1992,0.0293244927827327,"no",6.24222326545517,"oldword"
"70",70,101,66,"seventh",2,460,1,"iso",1992,0.0527430971316873,"no",6.13339804299665,"youngword"
"71",71,101,66,"seventh",2,460,1,"iso",1992,0.0527430971316873,"no",6.13339804299665,"youngword"
"72",72,101,67,"beg",2,512,1,"iso",1992,0.0761617014806419,"no",6.24027584517077,"oldword"
"73",73,101,68,"physics",2,498,1,"iso",1992,0.0995803058295965,"no",6.21260609575152,"youngword"
"74",74,101,69,"dental",2,414,1,"iso",1992,0.122998910178551,"no",6.0282785202307,"oldword"
"75",75,101,69,"fireworks",4,795,1,"oldreal",1992,0.122998910178551,"no",6.67959918584438,"oldword"
"76",76,101,70,"confectionery",4,674,1,"oldreal",1992,0.146417514527506,"no",6.51471269087253,"oldword"
"77",77,101,70,"confectionery",4,674,1,"oldreal",1992,0.146417514527506,"no",6.51471269087253,"oldword"
"78",78,101,70,"idle",7,690,1,"youngreal",1992,0.146417514527506,"no",6.53813982376767,"oldword"
"79",79,101,70,"idle",7,690,1,"youngreal",1992,0.146417514527506,"no",6.53813982376767,"oldword"
"80",80,101,73,"mittens",2,576,0,"iso",1992,0.21667332757437,"no",6.3578422665081,"oldword"
"81",81,101,73,"stress",4,812,1,"oldreal",1992,0.21667332757437,"no",6.70073110954781,"youngword"
"82",82,101,74,"intellectual",2,627,1,"iso",1992,0.240091931923324,"no",6.4425401664682,"youngword"
"83",83,101,74,"intellectual",2,627,1,"iso",1992,0.240091931923324,"no",6.4425401664682,"youngword"
"84",84,101,74,"guide",7,604,1,"youngreal",1992,0.240091931923324,"no",6.40522845803084,"youngword"
"85",85,101,74,"guide",7,604,1,"youngreal",1992,0.240091931923324,"no",6.40522845803084,"youngword"
"86",86,101,75,"chemistry",2,513,1,"iso",1992,0.263510536272279,"no",6.24222326545517,"youngword"
"87",87,101,75,"chemistry",2,513,1,"iso",1992,0.263510536272279,"no",6.24222326545517,"youngword"
"88",88,101,79,"lifting",2,499,1,"iso",1992,0.357184953668097,"no",6.21460809842219,"youngword"
"89",89,101,81,"permission",4,698,1,"oldreal",1992,0.404022162366007,"no",6.54965074223381,"oldword"
"90",90,101,82,"fireworks",7,546,1,"youngreal",1992,0.427440766714961,"no",6.30444880242198,"oldword"
"91",91,101,82,"physics",4,525,1,"oldreal",1992,0.427440766714961,"no",6.26530121273771,"youngword"
"92",92,101,84,"confectionery",7,838,1,"youngreal",1992,0.47427797541287,"no",6.73221070646721,"oldword"
"93",93,101,85,"video",4,586,1,"oldreal",1992,0.497696579761825,"no",6.3750248198281,"youngword"
"94",94,101,86,"fridge",7,682,1,"youngreal",1992,0.52111518411078,"no",6.52649485957079,"youngword"
"95",95,101,90,"frighten",4,698,1,"oldreal",1992,0.614789601506598,"no",6.54965074223381,"oldword"
"96",96,101,93,"guide",4,759,1,"oldreal",1992,0.685045414553462,"no",6.63331843328038,"youngword"
"97",97,101,94,"whistle",4,448,1,"oldreal",1992,0.708464018902417,"no",6.10702288774225,"oldword"
"98",98,101,95,"beg",7,527,1,"youngreal",1992,0.731882623251371,"no",6.26909628370626,"oldword"
"99",99,101,96,"recite",4,531,1,"oldreal",1992,0.755301227600326,"no",6.27664348934164,"oldword"
"100",100,101,98,"mittens",7,843,1,"youngreal",1992,0.802138436298235,"no",6.73815249459596,"oldword"
"101",101,101,98,"reckon",4,602,1,"oldreal",1992,0.802138436298235,"no",6.40191719672719,"youngword"
"102",102,101,101,"impressive",4,652,1,"oldreal",1992,0.872394249345099,"no",6.48157712927643,"youngword"
"103",103,101,102,"libraries",4,613,1,"oldreal",1992,0.895812853694054,"no",6.41999492814714,"oldword"
"104",104,101,103,"intellectual",4,527,1,"oldreal",1992,0.919231458043008,"no",6.26909628370626,"youngword"
"105",105,101,105,"seventh",4,544,1,"oldreal",1992,0.966068666740917,"no",6.30078579466324,"youngword"
"106",106,101,107,"electricity",4,568,1,"oldreal",1992,1.01290587543883,"no",6.34388043412633,"oldword"
"107",107,101,108,"silent",7,730,1,"youngreal",1992,1.03632447978778,"no",6.59441345974978,"oldword"
"108",108,101,110,"impressive",7,830,1,"youngreal",1992,1.08316168848569,"no",6.72262979485545,"youngword"
"109",109,101,111,"delivered",7,523,1,"youngreal",1992,1.10658029283465,"no",6.26149168432104,"oldword"
"110",110,101,116,"video",7,658,1,"youngreal",1992,1.22367331457942,"no",6.49072353450251,"youngword"
"111",111,101,119,"fried",4,675,1,"oldreal",1992,1.29392912762628,"no",6.51619307604296,"oldword"
"112",112,101,120,"survival",4,542,1,"oldreal",1992,1.31734773197524,"no",6.29710931993394,"youngword"
"113",113,101,121,"hymns",4,487,1,"oldreal",1992,1.34076633632419,"no",6.19031540585315,"oldword"
"114",114,101,122,"depressing",7,573,1,"youngreal",1992,1.36418494067315,"no",6.35262939631957,"youngword"
"115",115,101,124,"nicest",4,702,1,"oldreal",1992,1.41102214937106,"no",6.55535689181067,"youngword"
"116",116,101,127,"lifestyle",4,579,1,"oldreal",1992,1.48127796241792,"no",6.36302810354046,"youngword"
"117",117,101,130,"silent",4,628,0,"oldreal",1992,1.55153377546478,"no",6.44413125670044,"oldword"
"118",118,101,134,"willow",7,668,1,"youngreal",1992,1.6452081928606,"no",6.50578406012823,"oldword"
"119",119,101,134,"expensive",4,591,1,"oldreal",1992,1.6452081928606,"no",6.38350663488401,"youngword"
"120",120,101,135,"bitten",4,527,1,"oldreal",1992,1.66862679720956,"no",6.26909628370626,"youngword"
"121",121,101,135,"bitten",4,527,1,"oldreal",1992,1.66862679720956,"no",6.26909628370626,"youngword"
"122",122,101,135,"environment",7,591,1,"youngreal",1992,1.66862679720956,"no",6.38350663488401,"youngword"
