"","Stimulus","X","Subject","Trial","Block","ACC","RT","Sex","RTlog","cTrial","condition","WordGender"
"1","agent",24888,406,38,4,0,851,"male",6.74641212857337,-0.900928667933847,"female-real","male"
"2","agent",26687,409,56,2,1,662,"female",6.49526555593701,-0.57775660733263,"none","male"
"3","agent",4232,108,77,2,1,515,"female",6.24416690066374,-0.20072253663121,"none","male"
"4","agent",16267,303,77,4,1,642,"female",6.46458830368996,-0.20072253663121,"male-real","male"
"5","agent",20311,310,67,2,1,561,"female",6.3297209055227,-0.380262570298553,"none","male"
"6","agent",27073,410,7,2,1,677,"male",6.51767127291227,-1.45750277230261,"none","male"
"7","agent",17719,306,5,2,1,917,"male",6.82110747225646,-1.49341077903608,"none","male"
"8","agent",7757,201,98,7,1,664,"female",6.49828214947643,0.176311534070209,"male-real","male"
"9","agent",9096,203,182,4,1,559,"female",6.3261494731551,1.68444781687589,"female-real","male"
"10","agent",9895,205,55,4,1,889,"female",6.7900972355139,-0.595710610699364,"female-real","male"
"11","agent",18370,307,16,2,1,564,"male",6.33505425149806,-1.295916742002,"none","male"
"12","agent",14923,301,35,4,1,972,"female",6.87935580446044,-0.95479067803405,"male-real","male"
"13","agent",23461,403,143,4,1,600,"female",6.39692965521615,0.984241685573252,"female-real","male"
"14","agent",16266,303,77,4,1,642,"female",6.46458830368996,-0.20072253663121,"male-real","male"
"15","agent",7758,201,98,7,1,664,"female",6.49828214947643,0.176311534070209,"male-real","male"
"16","agent",5409,110,86,2,1,552,"male",6.31354804627709,-0.039136506330602,"none","male"
"17","agent",9705,204,199,7,1,680,"female",6.52209279817015,1.98966587411037,"male-real","male"
"18","agent",22941,402,167,4,1,558,"female",6.32435896238131,1.41513776637487,"female-real","male"
"19","agent",21400,312,35,2,1,458,"male",6.12686918411419,-0.95479067803405,"none","male"
"20","agent",20310,310,67,2,1,561,"female",6.3297209055227,-0.380262570298553,"none","male"
"21","agent",24889,406,38,4,0,851,"male",6.74641212857337,-0.900928667933847,"female-real","male"
"22","agent",509,101,159,4,1,565,"female",6.33682573114644,1.271505739441,"male-real","male"
"23","agent",15779,302,96,2,1,625,"female",6.4377516497364,0.140403527336741,"none","male"
"24","agent",12896,210,98,7,1,696,"male",6.54534966033442,0.176311534070209,"male-real","male"
"25","agent",27074,410,7,2,1,677,"male",6.51767127291227,-1.45750277230261,"none","male"
"26","agent",11038,207,46,2,1,511,"female",6.2363695902037,-0.757296640999973,"none","male"
"27","agent",10879,207,4,7,1,847,"female",6.74170069465205,-1.51136478240281,"male-real","male"
"28","agent",8285,202,85,4,1,593,"male",6.38519439899773,-0.0570905096973362,"female-real","male"
"29","agent",24887,406,38,4,0,851,"male",6.74641212857337,-0.900928667933847,"female-real","male"
"30","agent",26109,408,60,2,1,570,"female",6.3456363608286,-0.505940593865693,"none","male"
"31","agent",12233,209,69,2,1,648,"female",6.47389069635227,-0.344354563565085,"none","male"
"32","agent",4581,109,22,2,1,592,"female",6.38350663488401,-1.1881927218016,"none","male"
"33","agent",27264,410,52,7,1,673,"male",6.51174532964473,-0.649572620799567,"male-real","male"
"34","agent",5977,111,87,4,1,571,"female",6.34738920965601,-0.0211825029638677,"male-real","male"
"35","agent",13724,212,11,4,1,711,"male",6.56667242980324,-1.38568675883567,"female-real","male"
"36","agent",5974,111,86,2,1,643,"female",6.46614472423762,-0.039136506330602,"none","male"
"37","agent",24136,404,190,7,1,470,"female",6.1527326947041,1.82807984380976,"male-real","male"
"38","agent",15053,301,75,2,0,817,"female",6.70563909486,-0.236630543364679,"none","male"
"39","agent",17720,306,5,2,1,917,"male",6.82110747225646,-1.49341077903608,"none","male"
"40","agent",9704,204,199,7,1,680,"female",6.52209279817015,1.98966587411037,"male-real","male"
"41","agent",21401,312,35,2,1,458,"male",6.12686918411419,-0.95479067803405,"none","male"
"42","agent",14924,301,35,4,1,972,"female",6.87935580446044,-0.95479067803405,"male-real","male"
"43","agent",3906,107,187,4,1,614,"female",6.41999492814714,1.77421783370956,"male-real","male"
"44","agent",9897,205,55,4,1,889,"female",6.7900972355139,-0.595710610699364,"female-real","male"
"45","agent",2511,105,79,2,1,623,"female",6.43454651878745,-0.164814529897742,"none","male"
"46","agent",21950,401,23,7,1,1077,"female",6.98193467715639,-1.17023871843486,"male-real","male"
"47","agent",20907,311,68,7,1,583,"male",6.36818718635049,-0.362308566931819,"female-real","male"
"48","agent",27057,410,4,4,1,1020,"male",6.92755790627832,-1.51136478240281,"female-real","male"
"49","agent",27900,411,85,4,1,831,"male",6.72262979485545,-0.0570905096973362,"female-real","male"
"50","agent",12145,209,45,4,1,852,"female",6.74758652682932,-0.775250644366707,"female-real","male"
