"","Stimulus","X","Subject","Trial","Sex","Block","ACC","RT","RTlog","cTrial","condition","WordGender"
"212","agent",836,1,107,"female","7",1,486,6.18620862390049,0.479458373282563,"male-real","male"
"213","agent",23305,21,31,"female","4",1,614,6.419995,-0.9336723,"female-real","male"
"214","agent",5081,5,53,"female","2",1,708,6.56244409369372,-0.524608139011055,"none","male"
"215","agent",9210,8,190,"male","4",1,630,6.44571981938558,2.02274579032646,"male-real","male"
"216","agent",24606,22,52,"female","2",1,450,6.109248,-0.543202,"none","male"
"217","agent",29387,26,61,"male","7",0,986,6.893656,-0.3758575,"female-real","male"
"218","agent",9264,9,3,"male","7",1,711,6.56667242980324,-1.45429935409774,"male-real","male"
"219","agent",9209,8,190,"male","4",1,630,6.44571981938558,2.02274579032646,"male-real","male"
"220","agent",9990,9,91,"male","2",1,478,6.16961073249146,0.181957184454825,"none","male"
"221","agent",11970,11,52,"female","2",1,428,6.0591231955818,-0.543201963312788,"none","male"
"222","agent",9263,9,3,"male","7",1,711,6.56667242980324,-1.45429935409774,"male-real","male"
"223","agent",24605,22,52,"female","2",1,450,6.109248,-0.543202,"none","male"
"224","agent",24123,21,176,"female","7",1,374,5.924256,1.762432,"male-real","male"
"225","agent",21399,19,82,"female","7",1,891,6.792344,0.01461277,"male-real","male"
"226","agent",5213,5,70,"female","7",1,560,6.32793678372919,-0.208513125881582,"male-real","male"
"227","agent",18202,16,135,"female","4",0,940,6.84588,1.000085,"male-real","male"
"228","agent",11324,10,122,"female","4",0,574,6.35262939631957,0.758365737808568,"male-real","male"
"229","agent",11972,11,52,"female","2",1,428,6.0591231955818,-0.543201963312788,"none","male"
"230","agent",21397,19,82,"female","7",1,891,6.792344,0.01461277,"male-real","male"
"231","agent",3869,4,51,"male","7",1,826,6.71659477352098,-0.561795787614522,"female-real","male"
"232","agent",24607,22,52,"female","2",1,450,6.109248,-0.543202,"none","male"
"233","agent",24403,22,28,"female","7",1,642,6.464588,-0.9894537,"female-real","male"
"234","agent",11971,11,52,"female","2",1,428,6.0591231955818,-0.543201963312788,"none","male"
"235","agent",8083,7,186,"female","7",1,694,6.5424719605068,1.94837049311952,"male-real","male"
"236","agent",3868,4,51,"male","7",1,826,6.71659477352098,-0.561795787614522,"female-real","male"
"237","agent",24402,22,28,"female","7",1,642,6.464588,-0.9894537,"female-real","male"
"238","agent",25179,22,143,"female","4",1,739,6.605298,1.148836,"male-real","male"
"239","agent",5082,5,53,"female","2",1,708,6.56244409369372,-0.524608139011055,"none","male"
"240","agent",9265,9,3,"male","7",1,711,6.56667242980324,-1.45429935409774,"male-real","male"
"241","agent",5080,5,53,"female","2",1,708,6.56244409369372,-0.524608139011055,"none","male"
"242","agent",27133,24,76,"female","4",1,589,6.378426,-0.09695018,"male-real","male"
"243","agent",11323,10,122,"female","4",0,574,6.35262939631957,0.758365737808568,"male-real","male"
"244","agent",10437,10,5,"female","7",1,821,6.71052310945243,-1.41711170549427,"female-real","male"
"245","agent",15977,14,151,"female","7",1,583,6.36818718635049,1.29758664255884,"female-real","male"
"246","agent",17497,16,27,"female","7",1,584,6.369901,-1.008048,"female-real","male"
"247","agent",16314,15,22,"female","4",1,859,6.75576892198425,-1.1010166923648,"female-real","male"
"248","agent",15166,14,18,"female","2",1,535,6.28226674689601,-1.17539198957173,"none","male"
"249","agent",18203,16,135,"female","4",0,940,6.84588,1.000085,"male-real","male"
"250","agent",5212,5,70,"female","7",1,560,6.32793678372919,-0.208513125881582,"male-real","male"
"251","agent",3564,4,11,"male","2",1,585,6.37161184723186,-1.30554875968387,"none","male"
"252","agent",23307,21,31,"female","4",1,614,6.419995,-0.9336723,"female-real","male"
"253","agent",21273,19,67,"female","2",1,644,6.467699,-0.2642946,"none","male"
"254","agent",27132,24,76,"female","4",1,589,6.378426,-0.09695018,"male-real","male"
"255","agent",31883,28,92,"male","2",1,1416,7.255591,0.200551,"none","male"
"256","agent",12202,11,81,"female","4",1,646,6.4707995037826,-0.00398105856251214,"female-real","male"
"257","agent",835,1,107,"female","7",1,486,6.18620862390049,0.479458373282563,"male-real","male"
"258","agent",7770,7,97,"female","2",1,553,6.31535800152233,0.293520130265227,"none","male"
"259","agent",29627,26,91,"male","2",1,529,6.270988,0.1819572,"none","male"
"260","agent",17496,16,27,"female","7",1,584,6.369901,-1.008048,"female-real","male"
"261","agent",10439,10,5,"female","7",1,821,6.71052310945243,-1.41711170549427,"female-real","male"
"262","agent",29386,26,61,"male","7",0,986,6.893656,-0.3758575,"female-real","male"
"263","agent",16183,15,6,"female","2",1,1373,7.22475340576797,-1.39851788119254,"none","male"
"264","agent",24401,22,28,"female","7",1,642,6.464588,-0.9894537,"female-real","male"
"265","agent",8646,8,67,"male","2",1,439,6.08449941307517,-0.264294598786783,"none","male"
"266","agent",8645,8,67,"male","2",1,439,6.08449941307517,-0.264294598786783,"none","male"
"267","agent",30672,27,79,"female","2",1,654,6.483107,-0.04116871,"none","male"
"268","agent",4328,4,114,"male","4",1,773,6.65027904858742,0.609615143394699,"male-real","male"
"269","agent",26924,24,50,"female","7",1,638,6.458338,-0.5803896,"female-real","male"
"270","agent",23514,21,59,"female","2",1,731,6.594413,-0.4130452,"none","male"
"271","agent",6862,6,164,"female","7",0,587,6.3750248198281,1.53930635848138,"female-real","male"
"272","agent",16313,15,22,"female","4",1,859,6.75576892198425,-1.1010166923648,"female-real","male"
"273","agent",15976,14,151,"female","7",1,583,6.36818718635049,1.29758664255884,"female-real","male"
"274","agent",29388,26,61,"male","7",0,986,6.893656,-0.3758575,"female-real","male"
"275","agent",29629,26,91,"male","2",1,529,6.270988,0.1819572,"none","male"
"276","agent",27944,25,28,"female","2",1,579,6.361302,-0.9894537,"none","male"
"277","agent",24122,21,176,"female","7",1,374,5.924256,1.762432,"male-real","male"
"278","agent",609,1,77,"female","4",0,608,6.41017488196617,-0.0783563557694468,"female-real","male"
"279","agent",14454,13,71,"female","4",1,720,6.5792512120101,-0.189919301579849,"female-real","male"
"280","agent",9991,9,91,"male","2",1,478,6.16961073249146,0.181957184454825,"none","male"
"281","agent",30671,27,79,"female","2",1,654,6.483107,-0.04116871,"none","male"
"282","agent",26537,23,197,"female","7",1,573,6.350886,2.152903,"male-real","male"
"283","agent",28742,25,169,"female","7",1,715,6.572283,1.632275,"male-real","male"
"284","agent",16315,15,22,"female","4",1,859,6.75576892198425,-1.1010166923648,"female-real","male"
"285","agent",26538,23,197,"female","7",1,573,6.350886,2.152903,"male-real","male"
"286","agent",27134,24,76,"female","4",1,589,6.378426,-0.09695018,"male-real","male"
"287","agent",25178,22,143,"female","4",1,739,6.605298,1.148836,"male-real","male"
"288","agent",610,1,77,"female","4",0,608,6.41017488196617,-0.0783563557694468,"female-real","male"
"289","agent",31881,28,92,"male","2",1,1416,7.255591,0.200551,"none","male"
"290","agent",16022,14,165,"female","4",1,710,6.56526497003536,1.55790018278312,"male-real","male"
"291","agent",23306,21,31,"female","4",1,614,6.419995,-0.9336723,"female-real","male"
"292","agent",21398,19,82,"female","7",1,891,6.792344,0.01461277,"male-real","male"
"293","agent",12203,11,81,"female","4",1,646,6.4707995037826,-0.00398105856251214,"female-real","male"
"294","agent",22919,20,147,"female","7",1,705,6.558198,1.223211,"female-real","male"
"295","agent",25689,23,35,"female","2",1,435,6.075346,-0.859297,"none","male"
"296","agent",5716,5,174,"female","4",1,694,6.5424719605068,1.72524460149872,"female-real","male"
"297","agent",1992,2,104,"female","4",1,958,6.86484777797086,0.423676900377362,"male-real","male"
"298","agent",25690,23,35,"female","2",1,435,6.075346,-0.859297,"none","male"
"299","agent",23513,21,59,"female","2",1,731,6.594413,-0.4130452,"none","male"
"300","agent",19322,17,114,"male","4",1,649,6.475433,0.6096151,"female-real","male"
"301","agent",8084,7,186,"female","7",1,694,6.5424719605068,1.94837049311952,"male-real","male"
"302","agent",16182,15,6,"female","2",1,1373,7.22475340576797,-1.39851788119254,"none","male"
"303","agent",16181,15,6,"female","2",1,1373,7.22475340576797,-1.39851788119254,"none","male"
"304","agent",18608,17,23,"male","2",1,518,6.249975,-1.082423,"none","male"
"305","agent",10369,9,188,"male","4",1,654,6.4831073514572,1.98555814172299,"female-real","male"
"306","agent",3562,4,11,"male","2",1,585,6.37161184723186,-1.30554875968387,"none","male"
"307","agent",21272,19,67,"female","2",1,644,6.467699,-0.2642946,"none","male"
"308","agent",9989,9,91,"male","2",1,478,6.16961073249146,0.181957184454825,"none","male"
"309","agent",21271,19,67,"female","2",1,644,6.467699,-0.2642946,"none","male"
"310","agent",31882,28,92,"male","2",1,1416,7.255591,0.200551,"none","male"
"311","agent",19997,18,46,"female","4",1,649,6.475433,-0.6547649,"male-real","male"
"312","agent",22920,20,147,"female","7",1,705,6.558198,1.223211,"female-real","male"
"313","agent",29628,26,91,"male","2",1,529,6.270988,0.1819572,"none","male"
"314","agent",13238,12,68,"female","7",1,909,6.81234509417748,-0.24570077448505,"female-real","male"
"315","agent",20046,18,52,"female","2",1,558,6.324359,-0.543202,"none","male"
"316","agent",19321,17,114,"male","4",1,649,6.475433,0.6096151,"female-real","male"
"317","agent",27946,25,28,"female","2",1,579,6.361302,-0.9894537,"none","male"
"318","agent",3418,3,179,"female","4",1,1003,6.91075078796194,1.81821372300739,"female-real","male"
"319","agent",17996,16,89,"female","2",0,569,6.34388,0.1447695,"none","male"
"320","agent",18607,17,23,"male","2",1,518,6.249975,-1.082423,"none","male"
"321","agent",10370,9,188,"male","4",1,654,6.4831073514572,1.98555814172299,"female-real","male"
"322","agent",20537,18,125,"female","7",1,683,6.526495,0.8141472,"female-real","male"
"323","agent",19999,18,46,"female","4",1,649,6.475433,-0.6547649,"male-real","male"
"324","agent",10577,10,22,"female","2",1,453,6.11589212548303,-1.1010166923648,"none","male"
"325","agent",1991,2,104,"female","4",1,958,6.86484777797086,0.423676900377362,"male-real","male"
"326","agent",2424,3,12,"female","2",1,629,6.44413125670044,-1.28695493538214,"none","male"
"327","agent",22040,20,13,"female","2",1,535,6.282267,-1.268361,"none","male"
"328","agent",31070,27,166,"female","4",1,673,6.511745,1.576494,"female-real","male"
"329","agent",30670,27,79,"female","2",1,654,6.483107,-0.04116871,"none","male"
"330","agent",3419,3,179,"female","4",1,1003,6.91075078796194,1.81821372300739,"female-real","male"
"331","agent",18609,17,23,"male","2",1,518,6.249975,-1.082423,"none","male"
"332","agent",28749,25,171,"female","4",1,1141,7.03966,1.669463,"female-real","male"
"333","agent",21639,19,119,"female","4",1,423,6.047372,0.7025843,"female-real","male"
"334","agent",14453,13,71,"female","4",1,720,6.5792512120101,-0.189919301579849,"female-real","male"
"335","agent",25590,23,24,"female","4",1,652,6.480045,-1.063829,"female-real","male"
"336","agent",5715,5,174,"female","4",1,694,6.5424719605068,1.72524460149872,"female-real","male"
"337","agent",25688,23,35,"female","2",1,435,6.075346,-0.859297,"none","male"
"338","agent",1409,2,29,"female","2",1,752,6.62273632394984,-0.970859922252663,"none","male"
